Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;1;11;100,0;1;1;0;0;100,00;10;1;0;0;0;1;1;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;2;14;100,0;1;1;0;0;100,00;14;0;0;0;0;0;0;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Ila;11;100,0;1;1;0;0;100,00;10;1;0;0;0;1;1;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Selsbakk;14;100,0;1;1;0;0;100,00;14;0;0;0;0;0;0;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt;25;100,0;1;1;0;0;100,00;24;1;0;0;0;1;1;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;1;2;100,0;1;1;0;0;100,00;2;0;0;0;0;0;0;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;2;8;100,0;1;1;0;0;100,00;4;4;2;1;0;1;1;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Ila;2;100,0;1;1;0;0;100,00;2;0;0;0;0;0;0;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Selsbakk;8;100,0;1;1;0;0;100,00;4;4;2;1;0;1;1;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt;10;100,0;1;1;0;0;100,00;6;4;2;1;0;1;1;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;1;16;100,0;1;1;0;0;100,00;5;11;1;4;4;2;2;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;2;8;100,0;1;1;0;0;100,00;3;5;2;3;0;0;0;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt i retning Ila;16;100,0;1;1;0;0;100,00;5;11;1;4;4;2;2;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt i retning Selsbakk;8;100,0;1;1;0;0;100,00;3;5;2;3;0;0;0;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt;24;100,0;1;1;0;0;100,00;8;16;3;7;4;2;2;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;1;14;100,0;1;1;0;0;100,00;3;11;1;5;2;3;3;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;2;10;100,0;1;1;0;0;100,00;3;7;1;0;4;2;2;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;Totalt i retning Ila;14;100,0;1;1;0;0;100,00;3;11;1;5;2;3;3;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;Totalt i retning Selsbakk;10;100,0;1;1;0;0;100,00;3;7;1;0;4;2;2;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;Totalt;24;100,0;1;1;0;0;100,00;6;18;2;5;6;5;5;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;1;19;100,0;1;1;0;0;100,00;11;8;2;3;0;3;3;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;2;14;100,0;1;1;0;1;92,86;9;4;1;1;1;1;1;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;Totalt i retning Ila;19;100,0;1;1;0;0;100,00;11;8;2;3;0;3;3;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;Totalt i retning Selsbakk;14;100,0;1;1;0;1;92,86;9;4;1;1;1;1;1;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;Totalt;33;100,0;1;1;0;1;96,97;20;12;3;4;1;4;4;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;1;52;100,0;1;1;0;0;100,00;37;15;3;6;2;4;4;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;2;24;100,0;1;1;0;0;100,00;15;9;3;3;0;3;3;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;Totalt i retning Ila;52;100,0;1;1;0;0;100,00;37;15;3;6;2;4;4;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;Totalt i retning Selsbakk;24;100,0;1;1;0;0;100,00;15;9;3;3;0;3;3;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;Totalt;76;100,0;1;1;0;0;100,00;52;24;6;9;2;7;7;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;1;233;100,0;1;1;0;0;100,00;218;15;2;9;2;2;2;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;2;175;100,0;1;1;0;0;100,00;154;21;7;8;3;3;3;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;Totalt i retning Ila;233;100,0;1;1;0;0;100,00;218;15;2;9;2;2;2;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;Totalt i retning Selsbakk;175;100,0;1;1;0;0;100,00;154;21;7;8;3;3;3;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;Totalt;408;100,0;1;1;0;0;100,00;372;36;9;17;5;5;5;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T07:00+01:00;2020-02-25T08:00+01:00;2020-02-25;07:00;08:00;1;416;100,0;1;1;0;0;100,00;372;44;12;24;1;7;7;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T07:00+01:00;2020-02-25T08:00+01:00;2020-02-25;07:00;08:00;2;306;100,0;1;1;0;0;100,00;270;36;10;15;4;7;7;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T07:00+01:00;2020-02-25T08:00+01:00;2020-02-25;07:00;08:00;Totalt i retning Ila;416;100,0;1;1;0;0;100,00;372;44;12;24;1;7;7;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T07:00+01:00;2020-02-25T08:00+01:00;2020-02-25;07:00;08:00;Totalt i retning Selsbakk;306;100,0;1;1;0;0;100,00;270;36;10;15;4;7;7;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T07:00+01:00;2020-02-25T08:00+01:00;2020-02-25;07:00;08:00;Totalt;722;100,0;1;1;0;0;100,00;642;80;22;39;5;14;14;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T08:00+01:00;2020-02-25T09:00+01:00;2020-02-25;08:00;09:00;1;345;100,0;1;1;0;0;100,00;297;48;15;19;4;10;10;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T08:00+01:00;2020-02-25T09:00+01:00;2020-02-25;08:00;09:00;2;268;100,0;1;1;0;0;100,00;224;44;7;23;8;6;6;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T08:00+01:00;2020-02-25T09:00+01:00;2020-02-25;08:00;09:00;Totalt i retning Ila;345;100,0;1;1;0;0;100,00;297;48;15;19;4;10;10;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T08:00+01:00;2020-02-25T09:00+01:00;2020-02-25;08:00;09:00;Totalt i retning Selsbakk;268;100,0;1;1;0;0;100,00;224;44;7;23;8;6;6;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T08:00+01:00;2020-02-25T09:00+01:00;2020-02-25;08:00;09:00;Totalt;613;100,0;1;1;0;0;100,00;521;92;22;42;12;16;16;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T09:00+01:00;2020-02-25T10:00+01:00;2020-02-25;09:00;10:00;1;215;100,0;1;1;0;0;100,00;171;44;9;20;3;12;12;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T09:00+01:00;2020-02-25T10:00+01:00;2020-02-25;09:00;10:00;2;216;100,0;1;1;0;0;100,00;146;70;22;28;8;12;12;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T09:00+01:00;2020-02-25T10:00+01:00;2020-02-25;09:00;10:00;Totalt i retning Ila;215;100,0;1;1;0;0;100,00;171;44;9;20;3;12;12;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T09:00+01:00;2020-02-25T10:00+01:00;2020-02-25;09:00;10:00;Totalt i retning Selsbakk;216;100,0;1;1;0;0;100,00;146;70;22;28;8;12;12;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T09:00+01:00;2020-02-25T10:00+01:00;2020-02-25;09:00;10:00;Totalt;431;100,0;1;1;0;0;100,00;317;114;31;48;11;24;24;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T10:00+01:00;2020-02-25T11:00+01:00;2020-02-25;10:00;11:00;1;208;100,0;1;1;0;0;100,00;167;41;9;21;3;8;8;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T10:00+01:00;2020-02-25T11:00+01:00;2020-02-25;10:00;11:00;2;198;100,0;1;1;0;0;100,00;155;43;5;20;3;15;15;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T10:00+01:00;2020-02-25T11:00+01:00;2020-02-25;10:00;11:00;Totalt i retning Ila;208;100,0;1;1;0;0;100,00;167;41;9;21;3;8;8;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T10:00+01:00;2020-02-25T11:00+01:00;2020-02-25;10:00;11:00;Totalt i retning Selsbakk;198;100,0;1;1;0;0;100,00;155;43;5;20;3;15;15;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T10:00+01:00;2020-02-25T11:00+01:00;2020-02-25;10:00;11:00;Totalt;406;100,0;1;1;0;0;100,00;322;84;14;41;6;23;23;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T11:00+01:00;2020-02-25T12:00+01:00;2020-02-25;11:00;12:00;1;220;100,0;1;1;0;1;99,55;181;38;8;17;3;10;10;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T11:00+01:00;2020-02-25T12:00+01:00;2020-02-25;11:00;12:00;2;229;100,0;1;1;0;0;100,00;187;42;9;21;0;12;12;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T11:00+01:00;2020-02-25T12:00+01:00;2020-02-25;11:00;12:00;Totalt i retning Ila;219;100,0;1;1;0;1;99,54;180;38;8;17;3;10;10;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T11:00+01:00;2020-02-25T12:00+01:00;2020-02-25;11:00;12:00;Totalt i retning Selsbakk;230;100,0;1;1;0;0;100,00;188;42;9;21;0;12;12;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T11:00+01:00;2020-02-25T12:00+01:00;2020-02-25;11:00;12:00;Totalt;449;100,0;1;1;0;1;99,78;368;80;17;38;3;22;22;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T12:00+01:00;2020-02-25T13:00+01:00;2020-02-25;12:00;13:00;1;185;100,0;1;1;0;0;100,00;152;33;6;14;2;11;11;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T12:00+01:00;2020-02-25T13:00+01:00;2020-02-25;12:00;13:00;2;224;100,0;1;1;0;0;100,00;173;51;15;21;4;11;11;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T12:00+01:00;2020-02-25T13:00+01:00;2020-02-25;12:00;13:00;Totalt i retning Ila;185;100,0;1;1;0;0;100,00;152;33;6;14;2;11;11;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T12:00+01:00;2020-02-25T13:00+01:00;2020-02-25;12:00;13:00;Totalt i retning Selsbakk;224;100,0;1;1;0;0;100,00;173;51;15;21;4;11;11;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T12:00+01:00;2020-02-25T13:00+01:00;2020-02-25;12:00;13:00;Totalt;409;100,0;1;1;0;0;100,00;325;84;21;35;6;22;22;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T13:00+01:00;2020-02-25T14:00+01:00;2020-02-25;13:00;14:00;1;179;100,0;1;1;0;0;100,00;135;44;13;23;5;3;3;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T13:00+01:00;2020-02-25T14:00+01:00;2020-02-25;13:00;14:00;2;244;100,0;1;1;0;0;100,00;203;41;16;17;2;6;6;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T13:00+01:00;2020-02-25T14:00+01:00;2020-02-25;13:00;14:00;Totalt i retning Ila;179;100,0;1;1;0;0;100,00;135;44;13;23;5;3;3;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T13:00+01:00;2020-02-25T14:00+01:00;2020-02-25;13:00;14:00;Totalt i retning Selsbakk;244;100,0;1;1;0;0;100,00;203;41;16;17;2;6;6;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T13:00+01:00;2020-02-25T14:00+01:00;2020-02-25;13:00;14:00;Totalt;423;100,0;1;1;0;0;100,00;338;85;29;40;7;9;9;0
46684V1842951;Marienborgtunnelen;RV706 S1D1 m4466;2020-02-25T14:00+01:00;2020-02-25T15:00+01:00;2020-02-25;14:00;15:00;1;257;100,0;1;1;0;0;100,00;197;60;19;20;7;14;14;0
