Detector,Time,qPKW
04211V1677432_1,20,1
04211V1677432_2,30,1
04300V72813_1,30,1
10236V72161_3,30,1
81077V72158_1,40,1
81077V72158_2,40,1
21801V72158_1,50,1
27372V72852_1,50,1
16219V72812_1,70,1
81077V72158_3,120,1
88356V72157_6,140,1
04300V72813_1,150,1
81077V72158_2,200,1
88356V72157_1,210,1
16219V72812_1,220,1
16219V72812_1,230,1
16219V72812_1,240,1
16219V72812_2,250,1
04300V72813_1,270,1
16219V72812_1,290,1
16219V72812_1,370,1
81077V72158_2,370,1
81077V72158_4,390,1
04300V72813_1,420,1
88356V72157_6,430,1
04211V1677432_1,460,1
16219V72812_1,480,1
27372V72852_2,490,1
88356V72157_4,490,1
04211V1677432_2,510,1
04300V72813_1,520,1
04300V72813_3,520,1
04300V72813_3,530,1
04300V72813_3,540,1
81077V72158_2,540,1
04300V72813_3,550,1
81077V72158_2,550,1
16219V72812_2,610,1
81077V72158_1,620,1
16219V72812_1,640,1
27372V72852_1,640,1
04300V72813_1,650,1
10236V72161_3,670,1
10236V72161_3,690,1
81077V72158_3,690,1
27372V72852_1,710,1
81077V72158_4,720,1
16219V72812_1,760,1
04300V72813_1,770,1
04300V72813_3,780,1
10236V72161_4,780,1
21801V72158_2,780,1
04300V72813_3,790,1
27372V72852_2,790,1
04300V72813_3,800,1
04211V1677432_1,820,1
16219V72812_2,820,1
21801V72158_1,830,1
88356V72157_6,840,1
88356V72157_6,850,1
88356V72157_6,860,1
16219V72812_1,870,1
81077V72158_2,880,1
04300V72813_1,900,1
81077V72158_1,920,1
21801V72158_1,930,1
16219V72812_1,940,1
04211V1677432_2,970,1
16219V72812_2,980,1
16219V72812_1,1010,1
04300V72813_1,1020,1
04300V72813_3,1020,1
10236V72161_3,1030,1
81077V72158_2,1030,1
27372V72852_1,1040,1
81077V72158_2,1070,1
10236V72161_3,1080,1
27372V72852_2,1100,1
88356V72157_1,1110,1
16219V72812_1,1130,1
04300V72813_1,1140,1
04300V72813_3,1170,1
04300V72813_3,1180,1
10236V72161_3,1180,1
04300V72813_3,1190,1
04300V72813_3,1200,1
10236V72161_1,1200,1
16219V72812_2,1210,1
81077V72158_1,1220,1
81077V72158_2,1230,1
04211V1677432_1,1250,1
04300V72813_1,1270,1
16219V72812_1,1280,1
16219V72812_1,1320,1
16219V72812_2,1340,1
10236V72161_3,1350,1
27372V72852_2,1350,1
81077V72158_3,1350,1
88356V72157_6,1370,1
04211V1677432_2,1390,1
04211V1677432_2,1400,1
04300V72813_1,1400,1
16219V72812_1,1400,1
21801V72158_2,1400,1
81077V72158_2,1420,1
04300V72813_3,1450,2
04300V72813_3,1460,2
04300V72813_3,1470,1
10236V72161_4,1480,1
27372V72852_1,1490,1
04300V72813_3,1500,1
21801V72158_1,1500,1
04300V72813_3,1510,1
21801V72158_1,1510,2
04300V72813_3,1520,1
81077V72158_1,1520,1
88356V72157_2,1520,1
04300V72813_1,1530,1
04300V72813_3,1530,1
88356V72157_2,1530,1
88356V72157_2,1540,1
10236V72161_3,1550,1
16219V72812_1,1560,1
10236V72161_4,1570,1
16219V72812_1,1570,1
81077V72158_2,1580,1
88356V72157_4,1580,1
16219V72812_2,1620,1
04211V1677432_1,1640,1
04300V72813_1,1640,1
04211V1677432_1,1650,1
04300V72813_3,1660,1
10236V72161_1,1670,1
16219V72812_1,1680,1
88356V72157_2,1680,1
10236V72161_1,1690,1
88356V72157_2,1690,1
88356V72157_2,1700,1
81077V72158_2,1720,1
81077V72158_2,1740,1
04300V72813_1,1760,1
10236V72161_1,1770,1
10236V72161_2,1770,1
27372V72852_2,1790,1
27372V72852_2,1820,1
21801V72158_1,1840,1
81077V72158_1,1840,1
81077V72158_3,1840,1
10236V72161_3,1850,1
21801V72158_1,1850,1
81077V72158_1,1850,1
04211V1677432_2,1860,1
04211V1677432_2,1870,1
10236V72161_2,1870,1
16219V72812_1,1870,1
16219V72812_2,1870,1
04211V1677432_2,1880,1
04211V1677432_2,1890,1
04300V72813_1,1890,1
27372V72852_1,1890,1
16219V72812_1,1920,1
27372V72852_1,1920,1
81077V72158_4,1920,1
16219V72812_2,1970,1
88356V72157_1,1980,1
10236V72161_2,1990,1
10236V72161_3,2000,1
04300V72813_1,2010,1
16219V72812_1,2010,1
81077V72158_3,2010,1
04211V1677432_1,2030,1
88356V72157_6,2030,1
21801V72158_2,2050,1
04300V72813_3,2070,1
16219V72812_1,2070,1
04300V72813_3,2080,1
04300V72813_3,2090,2
04300V72813_3,2100,2
16219V72812_2,2100,1
04300V72813_3,2110,1
10236V72161_1,2110,1
81077V72158_4,2120,1
27372V72852_2,2130,1
81077V72158_3,2130,1
04300V72813_1,2150,1
10236V72161_3,2150,1
81077V72158_2,2150,1
04300V72813_3,2160,1
88356V72157_6,2170,1
88356V72157_1,2180,1
88356V72157_6,2180,1
10236V72161_1,2190,1
21801V72158_1,2190,1
88356V72157_6,2190,1
16219V72812_1,2200,1
16219V72812_2,2200,1
88356V72157_6,2200,1
16219V72812_2,2210,1
16219V72812_2,2220,1
16219V72812_2,2230,1
21801V72158_1,2250,1
81077V72158_2,2250,1
04300V72813_1,2260,1
04211V1677432_2,2280,1
27372V72852_2,2310,1
10236V72161_3,2330,1
27372V72852_1,2350,1
10236V72161_1,2370,1
04300V72813_1,2380,1
16219V72812_1,2380,1
27372V72852_1,2380,1
16219V72812_1,2390,1
04211V1677432_1,2420,1
81077V72158_1,2420,1
10236V72161_4,2430,1
81077V72158_1,2430,1
81077V72158_2,2430,1
16219V72812_2,2450,1
88356V72157_6,2450,1
88356V72157_6,2460,1
10236V72161_4,2470,1
16219V72812_1,2470,1
16219V72812_2,2480,1
10236V72161_3,2510,1
10236V72161_4,2510,1
04300V72813_1,2520,1
16219V72812_1,2530,1
16219V72812_2,2530,1
81077V72158_3,2530,1
16219V72812_2,2540,1
88356V72157_6,2560,1
27372V72852_2,2610,1
04300V72813_1,2630,1
16219V72812_1,2630,1
21801V72158_1,2630,1
81077V72158_4,2630,1
88356V72157_6,2630,1
16219V72812_1,2640,1
16219V72812_2,2700,1
04300V72813_3,2710,1
10236V72161_3,2710,1
16219V72812_2,2710,1
16219V72812_2,2720,1
81077V72158_3,2720,1
10236V72161_4,2740,1
04211V1677432_2,2750,1
27372V72852_1,2750,1
04300V72813_1,2770,1
81077V72158_2,2770,1
04300V72813_3,2790,2
10236V72161_1,2790,1
16219V72812_1,2790,1
21801V72158_2,2790,1
04300V72813_3,2800,2
04300V72813_3,2810,1
10236V72161_2,2810,1
27372V72852_2,2810,1
04211V1677432_1,2820,1
10236V72161_4,2820,1
10236V72161_1,2830,1
10236V72161_3,2870,1
16219V72812_2,2870,1
04300V72813_1,2880,1
21801V72158_2,2880,1
27372V72852_2,2880,1
16219V72812_1,2890,1
10236V72161_1,2900,1
21801V72158_1,2940,1
81077V72158_2,2940,1
21801V72158_2,2950,1
27372V72852_1,2950,1
21801V72158_2,2960,1
10236V72161_3,2970,1
16219V72812_2,2970,1
04300V72813_1,3000,1
04300V72813_3,3000,1
10236V72161_2,3010,1
16219V72812_1,3010,1
81077V72158_3,3020,1
10236V72161_1,3040,1
16219V72812_2,3040,1
04300V72813_1,3130,1
27372V72852_2,3130,1
81077V72158_2,3130,1
16219V72812_1,3150,1
21801V72158_1,3150,1
10236V72161_3,3160,1
21801V72158_1,3160,1
04211V1677432_1,3220,1
04211V1677432_2,3220,1
04300V72813_3,3220,1
16219V72812_2,3230,1
27372V72852_1,3230,1
21801V72158_1,3240,1
81077V72158_3,3240,1
04300V72813_1,3250,1
16219V72812_2,3250,1
21801V72158_1,3250,1
10236V72161_1,3270,1
16219V72812_1,3280,1
16219V72812_2,3290,1
81077V72158_2,3290,1
10236V72161_3,3310,1
81077V72158_1,3320,1
16219V72812_1,3340,1
16219V72812_1,3350,1
81077V72158_4,3390,1
04300V72813_1,3400,1
10236V72161_2,3400,1
16219V72812_1,3400,1
04300V72813_3,3410,1
04300V72813_3,3420,1
04300V72813_3,3430,2
04300V72813_3,3440,1
04300V72813_3,3450,1
21801V72158_2,3460,1
21801V72158_1,3470,1
27372V72852_1,3470,1
10236V72161_3,3490,1
16219V72812_2,3490,1
04300V72813_1,3500,1
21801V72158_1,3500,1
81077V72158_2,3500,1
16219V72812_2,3510,1
16219V72812_1,3540,1
88356V72157_6,3540,1
88356V72157_4,3560,1
81077V72158_2,3570,1
21801V72158_1,3590,1
04211V1677432_1,3620,1
04300V72813_1,3620,1
04300V72813_3,3630,1
81077V72158_3,3630,1
04300V72813_3,3640,1
16219V72812_2,3640,1
81077V72158_4,3640,1
04211V1677432_2,3660,1
10236V72161_3,3680,1
16219V72812_1,3700,1
27372V72852_1,3700,1
21801V72158_2,3710,1
21801V72158_2,3720,2
10236V72161_3,3730,1
10236V72161_1,3750,1
16219V72812_2,3780,1
04300V72813_3,3790,1
04300V72813_3,3800,1
04300V72813_3,3810,1
10236V72161_3,3810,1
16219V72812_2,3810,1
04300V72813_3,3820,1
81077V72158_2,3830,1
21801V72158_1,3850,1
10236V72161_2,3860,1
10236V72161_4,3880,1
16219V72812_2,3880,1
16219V72812_1,3890,1
04300V72813_1,3900,1
16219V72812_1,3900,1
10236V72161_3,3940,1
04300V72813_3,3950,1
10236V72161_1,3960,1
10236V72161_1,3970,1
10236V72161_2,3980,1
10236V72161_2,3990,1
27372V72852_2,3990,1
27372V72852_2,4010,1
04300V72813_3,4030,1
16219V72812_1,4040,1
10236V72161_3,4060,1
21801V72158_2,4060,1
88356V72157_6,4060,1
10236V72161_3,4070,1
88356V72157_6,4070,1
27372V72852_1,4080,1
88356V72157_4,4080,1
88356V72157_6,4080,1
10236V72161_4,4090,1
88356V72157_6,4090,1
16219V72812_2,4100,1
88356V72157_6,4140,1
10236V72161_4,4180,1
04300V72813_1,4190,1
10236V72161_4,4200,1
16219V72812_2,4220,1
10236V72161_4,4230,1
16219V72812_1,4230,1
88356V72157_4,4270,1
16219V72812_1,4280,1
88356V72157_4,4280,1
88356V72157_4,4290,1
16219V72812_2,4310,1
81077V72158_1,4340,1
10236V72161_4,4350,1
21801V72158_1,4350,1
27372V72852_1,4390,1
10236V72161_2,4400,1
10236V72161_1,4420,1
16219V72812_1,4420,1
81077V72158_2,4430,1
04300V72813_1,4460,1
10236V72161_3,4460,1
16219V72812_2,4480,1
10236V72161_4,4500,1
88356V72157_1,4500,1
10236V72161_2,4530,1
10236V72161_2,4550,1
21801V72158_2,4560,1
04300V72813_3,4570,1
16219V72812_2,4570,1
21801V72158_2,4570,1
21801V72158_2,4580,1
16219V72812_2,4610,1
16219V72812_2,4620,1
16219V72812_2,4630,1
10236V72161_2,4640,1
10236V72161_4,4640,1
16219V72812_2,4640,1
10236V72161_2,4650,1
16219V72812_1,4650,1
16219V72812_2,4650,1
16219V72812_2,4660,1
04300V72813_3,4670,1
88356V72157_6,4710,1
27372V72852_1,4720,1
04300V72813_1,4740,1
16219V72812_2,4740,1
16219V72812_2,4790,1
04211V1677432_1,4820,1
10236V72161_3,4830,1
16219V72812_2,4840,1
16219V72812_2,4850,1
88356V72157_6,4850,1
04300V72813_3,4870,1
10236V72161_4,4890,1
27372V72852_1,4920,1
10236V72161_4,4950,1
10236V72161_4,4960,1
10236V72161_1,4970,1
10236V72161_3,4970,1
10236V72161_4,4970,1
16219V72812_1,4970,1
10236V72161_3,4980,1
16219V72812_2,4980,1
10236V72161_4,5000,1
04300V72813_1,5010,1
04300V72813_3,5020,1
04300V72813_3,5030,1
16219V72812_1,5040,1
81077V72158_3,5060,1
16219V72812_2,5070,1
88356V72157_1,5070,1
16219V72812_2,5080,1
10236V72161_1,5110,1
21801V72158_1,5120,1
27372V72852_2,5130,1
04300V72813_3,5210,1
10236V72161_3,5220,1
81077V72158_2,5220,1
10236V72161_1,5240,1
10236V72161_1,5250,1
10236V72161_2,5250,1
10236V72161_2,5260,1
88356V72157_4,5270,1
16219V72812_2,5280,1
04300V72813_1,5290,1
16219V72812_1,5290,1
16219V72812_2,5290,1
10236V72161_2,5310,1
88356V72157_4,5320,1
27372V72852_1,5330,1
21801V72158_2,5340,1
16219V72812_1,5370,1
27372V72852_2,5400,1
27372V72852_2,5410,1
16219V72812_2,5420,1
81077V72158_2,5420,1
81077V72158_2,5430,1
16219V72812_2,5550,1
04300V72813_1,5560,1
88356V72157_1,5570,1
88356V72157_6,5570,1
16219V72812_1,5580,1
10236V72161_1,5620,1
10236V72161_3,5630,1
10236V72161_2,5650,1
10236V72161_4,5650,1
10236V72161_2,5660,1
10236V72161_4,5660,1
10236V72161_2,5700,1
10236V72161_3,5720,1
16219V72812_2,5780,1
81077V72158_1,5780,1
16219V72812_1,5790,1
16219V72812_2,5800,1
10236V72161_1,5840,1
16219V72812_2,5840,1
88356V72157_6,5840,1
04300V72813_1,5850,1
81077V72158_2,5910,1
10236V72161_2,5920,1
27372V72852_1,5970,1
10236V72161_4,5990,1
16219V72812_1,5990,1
16219V72812_1,6000,1
04300V72813_3,6010,1
10236V72161_3,6020,1
04211V1677432_1,6030,1
04300V72813_3,6030,1
10236V72161_3,6030,1
27372V72852_1,6060,1
10236V72161_2,6090,1
04300V72813_1,6130,1
88356V72157_4,6140,1
16219V72812_1,6170,1
88356V72157_1,6180,1
04300V72813_3,6210,1
16219V72812_2,6210,1
10236V72161_4,6220,1
04300V72813_3,6250,1
10236V72161_4,6260,1
16219V72812_2,6260,1
10236V72161_1,6290,1
88356V72157_1,6300,1
88356V72157_1,6320,1
16219V72812_1,6330,1
04300V72813_1,6420,1
27372V72852_1,6430,1
10236V72161_3,6440,1
16219V72812_2,6470,1
81077V72158_1,6500,1
10236V72161_2,6550,1
16219V72812_1,6550,1
27372V72852_2,6570,1
10236V72161_1,6610,1
10236V72161_2,6620,1
04300V72813_1,6670,1
10236V72161_2,6670,1
16219V72812_2,6670,1
27372V72852_2,6710,1
27372V72852_1,6730,1
16219V72812_1,6740,1
88356V72157_4,6770,1
04300V72813_3,6780,1
10236V72161_1,6780,1
16219V72812_2,6800,1
81077V72158_2,6800,1
10236V72161_3,6820,1
16219V72812_2,6870,1
04300V72813_3,6890,1
16219V72812_1,6890,1
04300V72813_1,6960,1
04300V72813_3,6980,1
10236V72161_4,7010,1
10236V72161_1,7030,1
88356V72157_4,7030,1
10236V72161_3,7070,1
16219V72812_2,7070,1
16219V72812_1,7080,1
10236V72161_2,7090,1
27372V72852_1,7090,1
88356V72157_1,7100,1
88356V72157_4,7100,1
04300V72813_3,7110,1
88356V72157_4,7110,1
16219V72812_1,7120,1
88356V72157_4,7120,1
88356V72157_4,7130,1
88356V72157_4,7140,1
88356V72157_4,7150,1
16219V72812_2,7160,1
88356V72157_4,7160,1
04300V72813_3,7170,1
88356V72157_4,7170,1
88356V72157_4,7180,1
88356V72157_4,7190,1
88356V72157_4,7200,1
88356V72157_4,7210,1
04300V72813_1,7220,1
81077V72158_1,7220,1
81077V72158_2,7220,1
04211V1677432_2,7230,1
10236V72161_3,7230,1
16219V72812_2,7230,1
21801V72158_1,7240,1
10236V72161_1,7270,1
04211V1677432_1,7280,1
27372V72852_2,7280,1
16219V72812_2,7290,1
81077V72158_4,7300,1
16219V72812_1,7340,1
27372V72852_1,7340,1
16219V72812_2,7360,1
16219V72812_2,7370,1
10236V72161_3,7390,1
16219V72812_1,7400,1
04300V72813_1,7430,1
81077V72158_3,7450,1
10236V72161_2,7480,1
16219V72812_1,7540,1
10236V72161_3,7550,1
10236V72161_2,7570,1
10236V72161_4,7570,1
88356V72157_6,7570,1
10236V72161_2,7580,1
04300V72813_3,7590,1
04300V72813_1,7620,1
27372V72852_1,7640,1
16219V72812_2,7650,1
10236V72161_3,7710,1
10236V72161_2,7760,1
16219V72812_2,7790,1
81077V72158_4,7790,1
04300V72813_1,7820,1
10236V72161_3,7830,1
04300V72813_3,7850,1
21801V72158_1,7850,1
04300V72813_3,7860,1
16219V72812_1,7860,1
10236V72161_3,7870,1
04300V72813_3,7890,1
10236V72161_2,7890,1
10236V72161_2,7940,1
27372V72852_2,7940,1
10236V72161_3,7990,1
27372V72852_1,7990,1
04300V72813_1,8020,1
10236V72161_4,8030,1
81077V72158_3,8040,1
16219V72812_2,8050,1
04300V72813_3,8090,1
04211V1677432_1,8120,1
81077V72158_2,8120,1
04211V1677432_1,8130,1
16219V72812_2,8140,1
16219V72812_1,8150,1
27372V72852_1,8170,1
16219V72812_1,8190,1
04300V72813_3,8200,2
16219V72812_1,8200,1
04300V72813_1,8220,1
16219V72812_1,8260,1
21801V72158_2,8260,1
10236V72161_3,8280,1
04300V72813_3,8330,1
04300V72813_3,8340,1
16219V72812_1,8360,1
04300V72813_1,8420,1
10236V72161_1,8420,1
81077V72158_1,8430,1
10236V72161_2,8440,1
21801V72158_1,8440,1
10236V72161_1,8450,1
16219V72812_2,8450,1
81077V72158_4,8480,1
10236V72161_3,8490,1
10236V72161_3,8500,1
16219V72812_2,8530,1
04300V72813_3,8540,1
16219V72812_2,8540,1
88356V72157_1,8550,1
81077V72158_3,8560,1
10236V72161_3,8580,1
10236V72161_4,8580,1
16219V72812_2,8580,1
10236V72161_4,8600,1
10236V72161_1,8610,1
04300V72813_1,8620,1
10236V72161_3,8720,1
10236V72161_4,8720,1
27372V72852_1,8720,1
16219V72812_1,8730,1
04300V72813_3,8760,1
16219V72812_1,8760,1
81077V72158_4,8760,1
04300V72813_3,8770,1
04300V72813_3,8780,1
27372V72852_1,8780,1
27372V72852_1,8790,1
04300V72813_1,8820,1
04300V72813_3,8820,1
16219V72812_1,8820,1
27372V72852_2,8830,1
16219V72812_2,8850,1
16219V72812_2,8890,1
10236V72161_3,8910,1
04300V72813_1,9020,1
81077V72158_2,9020,1
10236V72161_2,9050,1
16219V72812_2,9050,1
21801V72158_1,9050,1
04211V1677432_1,9070,1
04211V1677432_1,9080,1
10236V72161_2,9080,1
04300V72813_3,9090,1
21801V72158_2,9090,1
04300V72813_3,9150,1
16219V72812_1,9150,1
10236V72161_2,9160,1
10236V72161_3,9170,1
81077V72158_2,9190,1
27372V72852_1,9200,1
04300V72813_1,9220,1
16219V72812_1,9220,1
81077V72158_3,9220,1
88356V72157_6,9250,1
16219V72812_1,9360,1
10236V72161_1,9370,1
10236V72161_3,9390,1
10236V72161_3,9400,1
04300V72813_3,9410,1
04300V72813_1,9420,1
04300V72813_3,9420,2
10236V72161_4,9420,1
04300V72813_3,9430,2
04300V72813_3,9440,1
04300V72813_3,9450,1
10236V72161_1,9450,1
04300V72813_3,9460,1
04300V72813_3,9470,1
04300V72813_3,9480,1
04300V72813_3,9490,1
10236V72161_3,9490,1
10236V72161_1,9530,1
16219V72812_2,9530,1
81077V72158_2,9560,1
04300V72813_3,9570,1
10236V72161_3,9570,1
16219V72812_1,9580,1
10236V72161_4,9590,1
16219V72812_1,9590,1
27372V72852_1,9590,1
10236V72161_2,9600,1
10236V72161_4,9600,1
16219V72812_1,9600,1
10236V72161_2,9610,1
81077V72158_3,9620,1
04300V72813_1,9630,1
21801V72158_1,9640,1
21801V72158_1,9650,1
10236V72161_3,9700,1
27372V72852_1,9710,1
16219V72812_2,9800,1
27372V72852_2,9800,1
16219V72812_2,9810,1
16219V72812_2,9820,1
04300V72813_1,9830,1
88356V72157_2,9830,1
21801V72158_2,9840,1
88356V72157_2,9840,1
88356V72157_2,9850,1
88356V72157_2,9860,1
88356V72157_2,9870,1
04300V72813_3,9900,1
16219V72812_1,9900,1
10236V72161_3,9930,1
81077V72158_4,9930,1
04211V1677432_1,9940,1
10236V72161_3,9940,1
04300V72813_3,10010,1
04300V72813_1,10020,1
81077V72158_3,10050,1
81077V72158_3,10060,1
10236V72161_1,10080,1
10236V72161_3,10090,1
27372V72852_1,10090,1
04300V72813_3,10120,1
16219V72812_1,10120,1
88356V72157_1,10120,1
81077V72158_4,10130,1
04300V72813_3,10190,1
04300V72813_1,10220,1
21801V72158_1,10240,1
16219V72812_1,10270,1
16219V72812_2,10280,1
10236V72161_3,10290,1
04300V72813_3,10300,1
10236V72161_3,10420,1
27372V72852_1,10420,1
10236V72161_4,10430,1
04300V72813_1,10440,1
04300V72813_1,10450,1
04300V72813_3,10460,1
04300V72813_3,10470,1
